satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_with_company,involved_in_accident,left_company,promoted_last_5_years,department,salary_level
38.0,49.0,2,137,3,0,1,0,technical,medium
86.0,92.0,5,137,3,0,0,0,technical,medium
70.0,87.0,5,239,3,0,0,0,hr,medium
38.0,56.00000000000001,2,156,3,0,1,0,technical,low
81.0,77.0,3,221,2,0,0,0,technical,low
43.0,53.0,2,148,3,0,1,0,sales,medium
79.0,82.0,5,158,2,0,0,0,support,low
68.0,75.0,4,258,3,0,0,0,management,high
13.0,100.0,6,225,3,0,0,0,product_mng,medium
13.0,97.0,4,162,6,0,0,0,sales,low
56.00000000000001,55.00000000000001,3,245,2,0,0,0,IT,medium
84.0,51.0,2,117,4,0,0,0,accounting,low
35.0,80.0,6,281,2,0,1,0,sales,medium
78.0,98.0,5,239,6,0,1,0,marketing,low
41.0,68.0,3,191,4,0,0,0,sales,medium
48.0,76.0,5,236,2,0,0,0,sales,low
61.0,50.0,4,216,2,0,0,0,technical,low
94.0,67.0,4,191,3,1,0,0,product_mng,high
59.0,94.0,5,274,2,0,0,0,sales,high
77.0,68.0,5,162,4,1,0,0,technical,medium
91.0,68.0,3,218,3,1,0,0,accounting,medium
82.0,79.0,3,176,3,0,0,0,technical,low
44.0,46.0,2,154,3,0,1,0,technical,low
99.0,70.0,3,219,3,0,0,0,support,low
66.0,86.0,4,112,6,0,0,0,accounting,medium
60.0,99.0,4,160,3,0,0,0,sales,low
65.0,67.0,3,240,2,1,0,0,technical,low
75.0,87.0,4,146,8,1,0,0,support,low
82.0,54.0,4,164,3,0,0,0,support,low
75.0,85.0,3,250,6,0,0,0,technical,medium
95.0,74.0,3,212,3,0,0,0,sales,medium
96.0,93.0,5,141,2,1,0,0,sales,medium
48.0,81.0,5,113,3,0,0,0,technical,medium
54.0,93.0,3,124,5,0,0,0,IT,medium
86.0,88.0,4,274,3,0,0,0,hr,medium
67.0,66.0,6,272,3,0,0,0,sales,low
11.0,92.0,7,265,4,0,1,0,technical,low
25.0,69.0,3,187,4,0,0,0,marketing,medium
70.0,91.0,5,139,3,1,0,0,technical,medium
88.0,93.0,3,162,3,0,0,0,support,medium
29.0,56.99999999999999,5,98,5,0,0,0,hr,medium
11.0,83.0,6,282,4,0,1,0,sales,low
25.0,59.0,4,218,3,1,0,0,sales,low
66.0,49.0,4,157,3,0,0,0,sales,low
79.0,88.0,3,195,4,0,0,0,IT,low
38.0,49.0,2,132,3,0,1,0,support,low
87.0,100.0,5,242,5,0,1,0,sales,low
74.0,100.0,5,223,5,0,1,0,accounting,low
75.0,89.0,5,154,4,0,0,0,hr,low
39.0,49.0,2,146,3,0,1,0,sales,medium
52.0,51.0,3,213,4,0,0,0,support,low
74.0,91.0,4,232,5,0,1,0,technical,medium
56.99999999999999,87.0,4,171,2,0,0,0,support,medium
36.0,51.0,2,144,3,0,1,0,sales,low
98.0,94.0,3,179,3,0,0,0,sales,medium
11.0,92.0,7,255,4,0,1,0,support,medium
55.00000000000001,85.0,3,152,2,0,0,1,management,medium
90.0,79.0,4,236,3,1,0,0,technical,medium
65.0,62.0,4,235,3,0,0,0,support,low
43.0,52.0,2,154,3,1,1,0,product_mng,medium
72.0,56.99999999999999,3,203,2,1,0,0,marketing,medium
83.0,90.0,3,102,4,0,0,0,support,medium
73.0,87.0,4,155,3,1,0,0,technical,high
66.0,50.0,4,263,3,0,0,0,sales,high
95.0,64.0,3,242,5,1,0,0,sales,low
91.0,87.0,4,235,5,0,1,0,technical,low
55.00000000000001,62.0,5,184,4,0,0,0,marketing,medium
55.00000000000001,66.0,3,134,3,0,0,0,support,low
72.0,84.0,4,250,3,0,0,0,support,high
49.0,59.0,5,140,3,0,0,0,support,high
71.0,76.0,4,142,2,1,0,0,support,low
79.0,93.0,5,169,3,0,0,0,RandD,medium
51.0,88.0,3,202,4,0,0,0,hr,low
81.0,56.99999999999999,4,213,4,0,0,0,technical,high
11.0,79.0,6,281,4,0,1,0,support,medium
44.0,56.99999999999999,2,141,3,0,1,0,product_mng,medium
72.0,100.0,4,245,5,0,1,0,sales,low
17.0,56.00000000000001,5,218,4,1,0,0,support,medium
31.0,79.0,2,193,4,0,0,0,support,low
39.0,46.0,2,127,3,0,1,0,management,low
56.99999999999999,61.0,3,167,2,1,0,0,IT,low
50.0,74.0,4,272,5,0,0,0,accounting,low
70.0,77.0,4,245,2,0,0,0,sales,low
49.0,94.0,4,175,3,0,0,0,sales,medium
51.0,73.0,4,229,3,0,0,0,sales,low
43.0,55.00000000000001,2,130,3,0,1,0,support,high
85.0,80.0,4,200,2,0,0,0,marketing,low
43.0,50.0,2,152,3,0,1,0,management,medium
63.0,62.0,4,286,5,1,0,0,RandD,low
12.0,55.00000000000001,5,242,4,0,0,0,marketing,medium
51.0,57.99999999999999,4,140,3,0,0,0,technical,high
74.0,54.0,3,243,3,0,0,0,IT,medium
10.0,82.0,6,244,4,0,1,0,technical,medium
10.0,86.0,6,309,4,0,1,0,sales,medium
11.0,95.0,6,286,4,0,1,0,technical,medium
59.0,62.0,3,166,2,0,0,0,sales,low
63.0,60.0,4,258,3,0,0,0,sales,medium
71.0,76.0,3,201,2,0,0,0,RandD,medium
99.0,92.0,3,154,3,0,0,0,technical,medium
41.0,54.0,2,138,3,0,1,0,accounting,low
82.0,82.0,5,220,6,0,1,0,sales,medium
9.0,89.0,7,308,5,0,1,0,hr,medium
93.0,71.0,4,272,2,0,0,0,support,medium
43.0,51.0,2,141,3,0,1,0,sales,low
74.0,85.0,4,105,5,0,0,0,sales,high
79.0,91.0,5,271,5,0,1,0,sales,low
