Product,Period,Value
1,1,17265.0
1,2,17306.0
1,3,17049.0
1,4,17058.0
1,5,17195.0
1,6,16920.0
1,7,17086.0
1,8,16980.0
1,9,17231.0
1,10,17201.0
1,11,17142.0
1,12,17238.0
1,13,17121.0
1,14,17294.0
1,15,17316.0
1,16,17321.0
1,17,17147.0
1,18,17230.0
1,19,17091.0
1,20,17248.0
1,21,17144.0
1,22,17064.0
1,23,17274.0
1,24,17163.0
1,25,17121.0
1,26,17257.0
1,27,17377.0
1,28,17212.0
1,29,17177.0
1,30,17305.0
1,31,17311.0
1,32,17379.0
1,33,17209.0
1,34,17290.0
1,35,17091.0
1,36,17300.0
1,37,17193.0
1,38,17389.0
1,39,17321.0
1,40,17254.0
