Product,Period,Value
48,1,12526.0
48,2,12710.0
48,3,12685.0
48,4,12765.0
48,5,13044.0
48,6,13033.0
48,7,13031.0
48,8,13053.0
48,9,13314.0
48,10,13269.0
48,11,13322.0
48,12,13654.0
48,13,13621.0
48,14,13686.0
48,15,13825.0
48,16,13911.0
48,17,14016.0
48,18,14174.0
48,19,14385.0
48,20,14112.0
48,21,14393.0
48,22,14305.0
48,23,14572.0
48,24,14671.0
48,25,14607.0
48,26,14816.0
48,27,14720.0
48,28,14932.0
48,29,15104.0
48,30,15087.0
48,31,15018.0
48,32,15358.0
48,33,15596.0
48,34,15414.0
48,35,15516.0
48,36,15606.0
48,37,15608.0
48,38,15783.0
48,39,15936.0
48,40,15930.0
